bm25_k,vector_k,reranker_model,reranker_top_n,chunk_params,embedding_model,ensemble_weights,avg_bleu,reference_accuracy,avg_rouge1_recall,avg_rouge2_recall
5,3,bge-reranker-base,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4715,0.7531,0.8372,0.6989
5,3,bge-reranker-base,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.47097500000000003,0.75615,0.82655,0.6907
3,3,bge-reranker-large,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4707,0.734575,0.81365,0.6826
5,3,bge-reranker-large,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4706,0.7407,0.8476,0.7192
3,3,bge-reranker-v2-m3,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.47055,0.743825,0.8124,0.6846749999999999
3,5,bge-reranker-large,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4693,0.7037,0.8516,0.7111
3,5,bge-reranker-v2-m3,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.4691,0.7438,0.84325,0.7046
5,5,bge-reranker-large,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.469025,0.75615,0.84625,0.714175
3,5,bge-reranker-v2-m3,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.46892500000000004,0.75,0.814225,0.6835
3,5,bge-reranker-large,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4687,0.7407,0.8449,0.707
3,3,bge-reranker-v2-m3,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4687,0.7778,0.8484,0.7073
5,3,bge-reranker-v2-m3,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4684,0.7654,0.8534,0.7174
5,3,bge-reranker-v2-m3,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4683,0.7654,0.8655,0.7238
3,3,bge-reranker-base,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.46809999999999996,0.73765,0.80705,0.67645
3,5,bge-reranker-v2-m3,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.468,0.7531,0.8491,0.7162
3,3,bge-reranker-large,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4679,0.7407,0.8552,0.7227
